accidents,traffic_fine_amount,traffic_density,traffic_lights,pavement_quality,urban_area,average_speed,rain_intensity,vehicle_count,time_of_day,Variable,Description
17,8.5238,8.8659,2.178,1.3475,0,5.3979,2.8482,493.283,4.0465,0,0
21,7.2638,7.5168,1.766,4.993,1,464.774,648,528.309,10.9723,0,0
16,4.6806,4.2287,3.583,4.3257,0,10.6519,7.068,553.229,11.0116,0,0
25,2.5596,5.1715,6.533,1.4815,1,374.578,3.998,219.989,201.712,0,0
23,2.4079,3.7,234,3.4724,0,10.1937,2.1836,92.758,8.5725,0,0
25,3.2522,7.4078,1.837,4.1011,0,480.093,1.7126,706.467,131.904,0,0
17,5.943,7.8419,0.01,4.5071,1,395.561,1.748,265.855,146.227,0,0
19,7.4314,7.6329,4.716,5.315,1,459.359,759,301.251,2.6765,0,0
21,6.9418,7.2261,4.286,4.4651,0,475.492,1.598,881.555,133.911,0,0
23,3.5194,2.045,2.339,9.863,1,4.2212,1.9546,386.552,5.9242,0,0
12,9.5938,3.3797,537,3.6845,0,216.694,2.4686,56.08,4.9588,0,0
15,7.6411,4.6985,4.293,3.6442,0,32.405,1.4348,12.9223,6.1976,0,0
23,5.9892,3.3079,7.882,425,1,401.228,2.0296,259.215,2.3844,0,0
22,6.5055,7.5494,7.153,1.1031,0,12.0736,2.201,422.411,1.6735,0,0
23,4.7764,3.2935,8.608,2.4595,1,457.302,1.8392,659.576,155.248,0,0
19,3.2296,1.3823,96,2.1002,1,11.0488,1.0566,287.418,225.835,0,0
22,4.2038,3.9904,9.664,4.5929,1,433.088,3.957,951.254,16.512,0,0
20,7.8206,9.7991,3.414,1.7987,0,256.356,1.9426,228.015,7.4845,0,0
25,1.1295,2.2588,9.904,4.6849,1,257.711,2.3061,781.118,8.0411,0,0
26,2.0447,6.1216,2.526,2.2971,1,187.003,5.695,370.953,12.9933,0,0
25,1.414,4.3297,4.715,4.8218,1,5.1753,1.4846,835.067,207.912,0,0
20,1.3666,7.102,3.539,3.6868,0,173.545,1.1917,923.875,4.8591,0,0
11,8.6991,4.8788,3.558,4.1467,1,213.368,6.171,195.145,11.2443,0,0
20,7.3329,7.0216,8.423,5.244,1,239.511,7.359,496.562,11.9747,0,0
21,5.2676,5.1322,7.464,2.9307,1,369.548,713,162.822,223.494,0,0
30,1.8805,8.7211,9.922,7.135,1,176.035,1.2568,708.767,12.8677,0,0
19,5.4245,2.8894,6.135,1.4881,1,203.296,1.1714,833.916,187.406,0,0
18,5.2612,8.625,4.633,3.1178,0,453.049,1.6625,395.573,2.1072,0,0
25,2.5588,9.3657,901,3.6311,0,376.284,2.796,402.783,7.8462,0,0
21,4.9047,3.782,9.966,1.959,0,1.1428,1.7438,211.801,146.742,0,0
18,4.5865,5.7641,5.515,2.6547,0,406.044,655,313.469,162.633,0,0
21,6.5427,7.92,7.005,2.8266,1,494.972,7.721,330.654,212.451,0,0
20,6.7158,3.2431,4.067,3.941,1,469.884,1.5064,164.019,141.702,0,0
28,1.4077,7.1616,5.477,2.5034,1,417.978,2.0608,316.853,6.9499,0,0
22,4.3715,1.3542,9.426,3.5692,1,314.587,2.3138,908.184,12.9383,0,0
13,6.6327,2.9129,1.664,2.661,1,139.096,1.067,332.132,170.767,0,0
16,5.5282,1.4471,2.924,3.8013,0,327.215,1.6125,281.693,188.243,0,0
18,8.7084,8.1123,1.521,2.8821,1,347.796,1.0633,390.796,22.67,0,0
16,6.9282,2.2265,7.922,4.1661,1,140.779,2.0847,96.067,4.5781,0,0
28,2.4664,7.174,62,1.0903,1,12.7665,8.513,766.933,158.627,0,0
28,1.6351,9.433,816,4.1664,1,198.462,2.2312,209.721,4.8074,0,0
23,6.7818,5.2777,2.985,4.728,1,320.573,1.8067,755.026,7.6289,0,0
29,1.2386,5.4003,5.142,2.0191,1,146.531,2.369,768.572,3.4263,0,0
27,6.272,4.6103,4.063,9.974,1,277.833,2.9532,950.636,185.518,0,0
13,9.4621,3.2589,448,4.3801,0,449.619,2.7258,892.184,21.936,0,0
16,6.1793,4.7566,9.575,3.5246,0,14.755,1.7799,10.4243,7.183,0,0
30,4.4935,6.0281,9.529,1.268,1,482.987,2.6813,460.031,195.242,0,0
23,6.7896,9.8599,2.794,476,1,236.674,4.593,705.964,5.8021,0,0
21,5.1243,9.3776,7.315,1.4562,0,5.0454,1.291,973.635,11.6873,0,0
23,5.9106,8.6215,5.786,7.164,1,2.752,1.5994,9.4303,179.573,0,0
20,9.4732,8.8913,2.375,3.1515,1,169.337,2.9231,37.455,12.1645,0,0
22,4.4749,4.6785,2.622,3.319,1,12.9379,2.1292,497.302,5.55,0,0
14,9.6507,6.5744,4.912,4.7098,1,421.857,9.154,419.112,21.748,0,0
18,9.1482,8.9507,4.192,4.7602,1,368.819,2.1963,461.221,14.246,0,0
24,2.7621,3.9295,2.912,3.2945,1,442.273,1.197,375.411,223.501,0,0
34,1.6243,9.6176,8.075,284,0,294.627,1.4119,970.916,203.194,0,0
27,1.907,4.1579,4.815,1.795,1,217.729,7.118,805.212,210.381,0,0
25,1.164,6.0108,6.548,2.5657,0,135.284,1.476,739.293,8.6811,0,0
25,1.85,7.098,1.893,2.4959,0,291.554,7.497,416.594,236.956,0,0
25,7.1471,9.5059,5.335,3.0167,1,309.012,2.1674,882.708,204.575,0,0
21,1.6407,2.4462,318,4.8028,1,196.474,1.6536,10.2406,8.1026,0,0
24,3.8708,7.4613,5.264,4.426,1,468.298,703,151.984,21.514,0,0
17,8.6039,5.2082,7.808,5.445,0,319.977,1.2292,954.517,18.127,0,0
28,1.2094,2.6856,7.689,1.3299,1,418.741,2.2565,571.318,174.033,0,0
18,8.3302,7.7661,3.542,4.1655,0,310.195,2.8638,167.863,1.494,0,0
24,3.5367,5.5222,6.943,4.1215,0,158.268,2.6231,949.654,5.416,0,0
26,2.0635,6.6097,9.413,1.3769,1,36.831,46,975.095,16.675,0,0
14,7.2706,3.229,6.257,3.6529,1,11.5127,6.561,882.678,6.6884,0,0
14,6.6605,4.8127,1.484,3.3602,1,298.305,6.232,246.172,1.4044,0,0
17,8.8972,6.1735,6.797,2.3676,1,201.183,1.2393,285.709,6.8628,0,0
16,7.6156,4.0491,1.049,1.1973,1,7.4942,1.9373,412.903,201.098,0,0
11,8.2313,1.9837,8.721,4.4432,0,20.662,4.592,583.529,11.2947,0,0
28,3.5383,9.6164,5.167,3.3893,0,15.514,2.747,99.226,147.739,0,0
28,2.597,5.1147,3.851,845,1,5.6111,2.3314,956.572,192.121,0,0
19,7.7555,7.3392,57,3.524,1,411.914,1.258,921.928,7.761,0,0
15,8.2615,4.1105,3.808,3.7072,1,249.291,1.752,9.8384,2.675,0,0
11,9.9145,3.5513,9.032,4.4344,0,173.178,1.6254,759.595,7.7597,0,0
23,4.7136,4.0716,21,1.1142,1,252.482,1.7467,878.077,229.603,0,0
21,4.3482,4.092,4.746,4.9438,0,377.292,2.5803,339.947,11.5748,0,0
18,7.9877,5.4418,9.312,767,1,9.148,6.004,227.378,136.754,0,0
24,4.0672,5.4347,3.948,3.1934,1,273.376,2.0511,750.957,182.503,0,0
10,9.3768,4.9715,4.282,3.2859,0,239.575,3.211,9.9929,2.7584,0,0
15,8.7257,1.3479,5.786,2.0948,1,446.535,1.3775,94.145,176.145,0,0
23,4.8609,4.9608,4.629,2.3752,1,277.986,1.9075,164.517,7.1461,0,0
9,7.7578,1.691,1.686,4.4546,1,6.8661,375,462.962,9.3159,0,0
10,7.7909,1.2614,186,3.2264,1,194.342,3.242,98.297,6.4678,0,0
27,1.9281,9.3265,6.098,2.485,1,310.535,2.738,988.338,3.6851,0,0
16,9.123,6.0495,9.208,6.417,1,2.2967,1.1241,77.823,8.6751,0,0
23,5.5473,6.5949,1.064,367,1,442.325,1.866,840.797,2.2713,0,0
19,8.4381,4.0179,211,6.248,0,3.3891,2.9879,967.499,202.747,0,0
21,3.8804,9.0898,3.702,4.7809,0,1.5296,7.622,928.155,7.3427,0,0
11,9.0597,6.3793,8.087,3.8204,0,1.008,4.079,625.888,156.868,0,0
22,4.5028,7.6917,2.693,4.8356,1,341.872,1.2443,737.271,7.1207,0,0
26,1.0975,3.6856,8.821,1.785,1,22.796,4.379,597.839,5.0569,0,0
14,9.1484,9.6001,55,3.4011,1,5.1409,736,51.143,171.278,0,0
32,1.8216,8.2046,941,2.215,0,428.104,1.6919,882.021,149.761,0,0
26,3.8738,8.5395,5.607,3.9103,1,10.136,2.6387,740.645,5.2345,0,0
16,9.5506,1.7219,6.588,1.9048,1,163.162,2.5826,861.218,146.903,0,0
8,9.5555,2.7096,3.677,4.788,0,8.8861,3.024,10.4952,0.12,0,0
17,6.1609,2.8563,782,2.8402,1,463.378,4.424,58.072,4.246,0,0
17,6.6865,2.7091,1.666,1.4006,1,379.033,1.4734,336.222,174.661,0,0
22,5.036,8.5541,489,3.2979,1,361.977,1.1031,51.826,9.8436,0,0
17,3.6389,3.188,3.955,3.2909,1,2.1998,2.1092,616.836,4.8871,0,0
20,3.958,761,8.537,3.525,1,261.351,1.4848,847.301,12.142,0,0
12,7.0527,2.7391,7.549,4.9623,1,287.726,604,4.1559,11.1652,0,0
14,7.7714,1.9987,5.172,1.9335,0,19.126,8.537,172.344,152.145,0,0
16,8.1242,2.3186,5.721,2.3266,1,160.878,2.7045,922.231,1.7409,0,0
21,8.1066,7.9794,1.299,4.0231,1,425.971,1.5345,967.598,196.644,0,0
26,1.8209,5.6313,8.407,2.8919,1,1.1508,2.3938,6.4868,1.3986,0,0
17,5.4498,577,787,1.863,0,312.677,1.2069,33.847,10.8925,0,0
26,1.518,4.2932,6.565,4.2154,1,197.123,2.0309,1.9633,170.514,0,0
18,5.9458,4.0788,4.662,2.575,1,332.975,507,759.874,8.2755,0,0
20,4.9738,1.1395,9.645,8.541,0,9.8959,2.2096,685.121,218.428,0,0
23,8.9893,6.7614,879,5.104,1,11.933,2.3597,569.157,181.256,0,0
24,4.1582,7.021,6.444,3.896,1,293.427,2.704,694.745,10.2252,0,0
29,2.0536,7.2089,3.718,1.284,1,489.969,5.499,542.413,4.4118,0,0
30,2.2869,7.2847,618,2.751,1,487.342,1.3887,246.453,1.0425,0,0
13,7.8536,5,5.754,2.2122,0,12.449,1.9123,75.679,192.399,0,0
23,6.564,9.5392,3.942,1.2643,1,5.1176,1.9125,785.445,4.6626,0,0
31,1.9101,8.1421,3.067,6.327,1,295.172,2.1946,85.566,6.4722,0,0
30,1.757,9.0398,407,3.2935,1,209.991,2.1432,954.536,2.491,0,0
13,7.3087,1.564,5.739,1.1306,0,380.843,1.5173,750.066,4.374,0,0
30,1.6549,9.3386,4.281,947,1,263.992,1.7246,6.4004,5.53,0,0
16,8.3967,8.0979,2.636,2.0921,1,255.293,252,3.063,209.488,0,0
22,7.3562,8.3722,761,1.5522,1,32.323,4.998,742.472,187.398,0,0
23,1.7321,9.329,5.315,1.593,1,6.3209,1.4957,6.549,18.477,0,0
30,1.7635,7.3878,677,2.2264,1,338.581,2.2368,322.785,198.488,0,0
16,9.8798,9.5992,3.683,3.3446,1,24.426,2.4268,144.798,4.4787,0,0
29,4.3684,6.7855,8.849,3.0824,1,410.074,2.1868,969.211,234.976,0,0
19,4.3358,5.7056,7.552,4.6863,0,6.9353,1.4592,32.323,5.5726,0,0
18,8.3152,9.4563,3.232,2.5886,1,150.374,8.438,6.4595,3.5983,0,0
17,9.5252,4.4294,9.382,2.3628,1,475.123,1.3341,950.111,7.0715,0,0
14,9.874,5.9929,766,1.0671,1,276.536,279,612.657,12.7309,0,0
19,7.7804,4.7634,9.612,3.7769,1,46.465,1.7939,4.5748,2.9863,0,0
24,4.3863,9.3285,2.457,7.039,0,344.518,2.237,835.027,177.269,0,0
19,1.7515,7.608,91,2.4557,0,463.216,4.362,161.003,8.9166,0,0
20,7.9943,5.0112,4.338,2.1066,1,158.913,1.8779,804.412,13.642,0,0
17,6.0256,6.8695,359,3.2915,0,4.5267,0.04,606.724,176.217,0,0
23,4.818,7.9191,5.391,4.5881,0,401.121,1.7207,185.344,216.454,0,0
19,9.1572,5.8302,7.968,4.733,1,402.234,1.9151,755.072,196.643,0,0
35,2.2008,9.0892,8.424,839,1,309.413,2.3648,45.996,12.8992,0,0
20,5.4336,9.4199,4.012,1.3091,0,289.785,2.041,64.172,237.881,0,0
19,1.1022,6.432,4.298,4.0582,0,457.454,88,870.819,12.7137,0,0
18,5.2179,4.0237,1.482,2.5914,0,8.8249,2.3006,267.695,12.8633,0,0
21,1.5067,2.346,475,2.2652,1,308.269,8.702,372.312,3.8037,0,0
26,2.0694,3.2942,6.412,3.5531,1,2.4885,2.6616,997.299,3.5693,0,0
21,2.0577,5.3687,644,3.1996,0,7.0432,5.549,513.033,4.0488,0,0
23,6.8429,9.1079,7.338,4.8536,1,218.636,1.7565,562.918,142.037,0,0
16,7.7144,8.4655,5.391,2.9199,0,410.604,3.282,292.584,9.9641,0,0
13,6.2503,1.275,1.986,2.3299,0,366.566,1.2081,421.867,9.2612,0,0
15,9.6596,9.303,5.395,2.7141,1,487.032,2.6462,506.536,3.0614,0,0
19,4.3738,5.8927,183,4.0427,0,2.2424,1.825,26.586,9.1462,0,0
25,3.5714,5.3212,4.387,3.0634,1,190.676,2.0689,245.764,9.0718,0,0
11,8.8174,2.6638,7.996,3.2352,1,7.9395,6.779,604.462,148.995,0,0
24,3.0124,8.9945,4.619,4.8572,0,1.8481,2.7683,191.815,9.3218,0,0
16,9.669,9.2737,1.487,3.092,1,132.199,1.8704,557.923,10.0503,0,0
25,1.1094,4.0261,7.238,1.9014,1,12.2236,3.177,709.152,6.541,0,0
13,9.7289,8.903,1.868,3.4566,1,210.014,467,206.275,3.1561,0,0
23,1.3884,3.8395,7.385,3.2973,1,7.1941,478,748.419,7.2003,0,0
15,9.0203,7.3682,4.794,692,1,244.284,1.536,366.088,1.0264,0,0
23,5.7493,4.7594,4.537,2.3366,0,460.049,2.7348,992.579,4.889,0,0
12,9.9367,1.2258,8.514,3.7145,1,374.094,1.0751,979.286,7.7989,0,0
26,1.6642,9.2793,7.086,2.4952,0,421.089,8.947,800.609,3.4955,0,0
17,5.9847,4.541,329,3.8981,0,402.364,1.2496,349.294,159.593,0,0
16,9.7237,7.3449,2.962,2.2544,1,194.813,1.2287,937.838,6.7384,0,0
18,5.7079,3.6717,8.709,4.9166,0,354.481,7.155,998.791,147.727,0,0
12,6.6646,1.888,183,1.4645,0,377.128,2.755,467.656,154.533,0,0
14,7.2617,1.1953,5.453,4.606,1,10.2824,3.259,618.443,10.7349,0,0
23,5.0909,4.9622,7.278,2.1501,1,430.131,1.7976,1.5927,10.7786,0,0
19,6.648,6.8996,6.219,2.7085,0,228.874,1.1905,5.3098,139.551,0,0
17,6.2588,3.3474,7.605,1.7455,0,818,2.7074,505.592,6.299,0,0
15,9.1104,6.9549,7.257,1.2114,0,321.692,1.3912,613.221,5.099,0,0
25,1.409,6.9864,692,3.3603,0,338.382,1.5105,319.269,154.806,0,0
29,3.5287,7.0394,8.215,1.8856,1,275.881,2.7847,10.8139,146.046,0,0
15,9.5537,4.9252,6.457,3.1568,1,10.6208,1.5049,784.449,11.4331,0,0
18,9.0124,9.1489,4.024,3.8954,1,241.139,1.5059,424.572,210.184,0,0
19,5.1009,4.892,4.719,3.805,1,200.064,1.0895,65.236,12.207,0,0
22,6.5812,4.5027,7.167,1.8765,1,487.343,2.1312,653.699,7.2839,0,0
26,3.4964,1.9938,8.763,2.8395,1,412.339,1.1767,55.137,171.248,0,0
25,2.6931,3.0766,2.722,2.2483,1,38.095,1.765,186.705,230.977,0,0
16,5.1733,4.233,3.421,4.354,1,9.0537,1.3422,619.921,176.851,0,0
24,4.1802,6.3354,9.307,4.3938,1,16.552,1.5862,328.863,218.123,0,0
20,6.2529,2.4854,5.785,1.7187,1,189.856,2.4811,820.934,2.7051,0,0
24,1.6996,3.0416,179,4.587,1,246.314,1.2412,201.265,2.9037,0,0
14,9.7696,7.7081,6.637,8.379,1,1.5112,6.902,298.237,3.7105,0,0
14,9.8759,3.2722,9.908,1.835,0,296.505,1.711,445.903,168.685,0,0
20,7.2835,2.422,8.235,2.8212,1,178.928,2.8125,742.613,9.353,0,0
20,5.8249,1.6906,7.457,3.2839,1,280.839,2.0796,723.543,11.4651,0,0
21,3.7857,7.7486,208,1.6569,1,4.489,9.251,343.739,6.2861,0,0
16,8.3242,1.2971,8.761,3.3375,1,160.717,2.889,515.645,176.665,0,0
16,7.1626,4.5375,5.258,4.6887,1,384.333,1.0282,241.892,202.884,0,0
28,2.4636,5.0693,8.893,3.2601,0,250.541,2.9498,772.662,3.8451,0,0
15,9.1983,6.8739,3.298,7.928,1,394.444,576,204.743,4.6256,0,0
21,8.4028,6.3328,621,2.8983,1,34.948,2.9989,821.153,8.1456,0,0
16,9.5482,8.1072,476,2.7095,1,42.746,2.277,937.495,6.724,0,0
12,7.5315,4.475,2.698,4.3535,0,3.722,2.1397,99.17,12.7569,0,0
20,6.5207,2.9644,7.152,1.7515,0,130.663,2.2213,858.393,180.619,0,0
23,4.7642,2.8013,9.571,2.1147,1,274.401,2.0387,229.482,190.386,0,0
15,9.3946,1.4602,691,2.9933,1,470.509,2.3328,422.348,5.2028,0,0
13,8.7946,2.8918,8.869,2.6221,1,339.895,1.4155,9.7948,4.214,0,0
19,1.407,3.0977,453,3.5951,0,228.294,1.623,172.906,8.7287,0,0
25,1.2373,5.2188,7.716,2.019,0,6.5071,1.0733,5.92,3.5454,0,0
24,4.3882,6.637,843,2.8176,0,246.608,1.9269,644.677,2.2031,0,0
18,8.295,3.811,7.109,6.084,0,220.543,1.9387,537.855,5.822,0,0
14,9.8855,7.1947,5.078,1.576,0,389.222,5.856,917.843,9.4547,0,0
22,2.3538,3.3617,6.259,3.3081,1,206.674,759,468.378,141.082,0,0
19,6.3472,2.9028,7.005,7.871,1,159.419,1.4601,645.884,173.587,0,0
23,4.428,5.4119,2.531,1.5442,1,4.486,2.1858,407.581,5.3475,0,0
14,9.7292,2.372,8.096,3.515,1,2.3251,2.5584,831.162,196.479,0,0
8,8.5791,7.979,9.503,3.254,1,219.567,2.595,927.112,8.081,0,0
19,8.545,4.1797,4.652,4.552,1,173.431,2.7769,437.414,10.6571,0,0
27,5.2182,9.4291,7.011,2.8863,0,277.662,2.7832,9.1874,151.938,0,0
22,4.7334,7.2151,737,7.363,1,355.964,238,17.19,6.9903,0,0
21,3.4607,8.813,6.622,1.2614,1,2.2003,1.5192,723.339,164.086,0,0
32,1.5074,8.4632,5.471,2.2961,1,248.109,1.7614,332.015,208.093,0,0
20,8.7825,7.323,8.816,5.467,1,430.986,1.6611,787.531,2.1448,0,0
14,8.3161,6.1095,4.489,4.9682,0,227.583,1.8473,752.262,12.3015,0,0
14,9.9975,8.2029,611,8.268,1,260.621,1.5101,697.359,4.505,0,0
12,9.9697,4.0411,8.446,3.9066,1,243.396,8.814,816.075,6.7098,0,0
13,5.9989,2.215,674,4.1492,0,194.896,2.871,75.899,3.2866,0,0
14,7.9209,5.1202,8.493,4.9723,1,5.506,6.251,636.262,149.826,0,0
13,9.5029,5.4884,1.385,2.1433,1,6.3178,2.2208,1.4185,5.9684,0,0
10,8.6468,5.3833,308,4.3705,0,8.9545,7.232,52.052,6.7776,0,0
25,3.2261,5.6507,9.344,4.7877,0,396.282,2.4891,59.93,4.9351,0,0
23,5.0549,9.487,1.477,8.645,1,137.666,1.2105,961.039,5.8513,0,0
28,2.1624,9.0225,8.097,2.3972,1,474.062,1.2434,653.977,5.4026,0,0
20,9.5865,8.7572,8.232,3.001,0,405.085,2.6055,579.719,167.489,0,0
20,6.4556,8.0142,7.087,3.1036,1,34.227,6.429,545.782,229.394,0,0
24,3.0578,9.4343,1.313,2.907,1,360.197,5.689,11.226,11.7656,0,0
19,7.0453,9.849,6.674,1.0206,1,2.3816,2.9562,433.344,144.093,0,0
18,6.5632,2.6512,8.891,3.9895,1,284.195,1.6218,143.012,196.345,0,0
23,4.2235,4.9506,4.255,1.863,1,470.528,5.716,6.2171,11.4265,0,0
24,2.022,8.4653,4.135,4.0311,1,1.9555,4.974,336.175,7.2486,0,0
22,7.0442,5.0517,4.429,1.332,0,145.508,2.585,648.988,228.234,0,0
21,5.6828,7.4803,823,3.2841,0,2.5756,1.7995,868.129,217.478,0,0
14,7.9509,1.3896,892,3.938,1,284.871,3.451,812.262,5.2886,0,0
19,5.6815,2.5241,8.692,1.2561,0,5.81,2.6607,301.743,168.738,0,0
16,8.6696,7.3178,9.979,3.6096,1,239.625,1.3317,5.5537,155.313,0,0
22,5.9672,1.6473,5.852,1.402,1,359.975,2.9681,408.651,155.912,0,0
18,6.0484,3.5136,7.512,2.5559,0,8.2219,8.453,321.631,199.345,0,0
15,8.8899,2.6487,2.027,4.5762,1,377.682,1.5865,377.552,161.785,0,0
21,4.6313,3.4986,6.675,2.482,1,3.0102,5.193,563.508,12.4321,0,0
26,2.2061,7.0832,6.497,4.0554,1,7.4812,1.3191,4.0109,203.056,0,0
25,1.259,3.6785,9.012,3.264,0,140.055,5.296,377.098,6.3562,0,0
20,7.7962,5.5526,8.308,634,0,39.805,9.217,563.047,163.014,0,0
17,6.5828,9.993,9.385,5.966,1,425.068,8.096,436.661,168.365,0,0
22,7.3367,8.0502,8.688,4.9705,1,11.019,8.493,670.557,208.877,0,0
30,2.9167,3.6989,8.687,9.009,1,4.7892,2.9095,19.427,239.594,0,0
21,2.2273,6.4853,637,4.4838,1,423.977,1.153,16.229,133.812,0,0
27,1.1309,7.2539,846,4.9547,1,324.684,1.4906,314.796,11.6259,0,0
24,4.1553,2.0966,6.075,1.9189,1,7.8928,1.8877,11.0712,144.164,0,0
24,6.3093,8.8467,3.804,3.1552,1,278.858,1.9823,243.899,158.083,0,0
22,4.5302,6.1622,565,3.8955,0,436.186,2.2636,9.6035,171.116,0,0
22,4.9373,4.2873,6.777,1.9632,1,3.4757,2.2829,407.958,6.7493,0,0
15,9.1374,1.8234,3.282,8.091,0,4.1861,2.8665,714.342,11.6888,0,0
28,4.1343,9.423,4.678,2.1688,1,136.804,2.267,293.673,8.9021,0,0
23,5.6259,7.5507,6.817,3.8594,0,326.131,2.4711,1.3694,9.306,0,0
15,8.0529,2.0802,9.118,3.9038,1,8.9004,1.5969,561.497,146.286,0,0
26,4.5689,3.3771,8.254,1.1527,1,408.184,1.973,695.022,209.955,0,0
24,6.5988,8.0967,4.506,8.748,1,375.215,1.4344,397.403,221.153,0,0
14,8.7613,6.9568,3.878,4.6028,1,280.502,8.293,30.403,12.4182,0,0
16,9.5457,7.6578,2.398,0.22,1,5.8034,9.401,495.731,183.812,0,0
23,2.3237,4.412,3.724,3.6737,0,49.411,1.0816,11.0227,170.979,0,0
17,9.3393,7.1648,111,2.321,1,245.017,1.0219,647.487,5.4936,0,0
18,5.429,3.8649,9.711,4.1895,1,226.037,1.5995,735.964,1.5099,0,0
23,3.3242,2.1126,5.739,4.5271,1,497.785,7.429,707.584,179.486,0,0
22,5.1322,6.3268,1.278,1.4871,1,431.934,1.5499,33.538,6.7847,0,0
21,9.8203,9.7601,3.528,3.697,1,228.184,2.7487,844.284,131.852,0,0
18,5.4336,3.106,547,2.4034,0,209.401,1.2179,94.738,12.5775,0,0
18,3.9588,4.6097,5.329,1.4923,0,4.7955,6.679,304.103,19.629,0,0
21,6.7006,6.74,355,2.0857,1,463.256,1.0406,270.092,154.715,0,0
28,3.1613,5.4151,9.508,3.3249,1,421.887,2.6307,707.065,203.315,0,0
30,1.6828,8.4343,2.754,1.0491,0,155.001,2.8251,711.199,180.537,0,0
30,2.1599,7.6174,162,1.7848,0,376.661,2.6601,515.313,23.996,0,0
20,2.1524,583,764,3.9128,0,381.365,862,924.087,20.733,0,0
27,2.3671,9.9842,5.802,3.2188,0,11.3955,1.1635,154.852,5.0658,0,0
32,2.2494,7.524,1.378,1.6314,1,306.828,2.9248,482.593,230.733,0,0
18,6.7679,8.639,417,3.3215,1,12.7514,9.716,4.4855,8.1632,0,0
24,2.6369,6.512,3.796,3.8266,1,394.943,4.136,6.2129,145.882,0,0
20,4.111,8.5629,6.228,2.9624,0,7.6905,8.463,6.3148,225.924,0,0
15,9.0711,1.1238,1.118,1.1975,1,334.453,2.8919,49.687,5.14,0,0
20,5.2657,3.4774,3.133,12,0,163.006,1.2476,593.075,205.752,0,0
22,7.008,8.7642,4.178,4.0142,1,1.8091,2.8016,1.3453,228.757,0,0
18,2.5509,2.0166,1.595,4.1132,1,6.1852,3.122,636.221,20.49,0,0
24,2.7306,7.824,5.061,3.488,1,32.745,2.2982,494.804,196.601,0,0
24,1.3678,7.8812,852,3.829,0,11.9957,0.28,231.564,6.3507,0,0
24,2.5204,8.3549,465,2.9261,0,315.518,5.925,2.4949,9.7704,0,0
21,3.5073,1.6265,5.198,4.1051,1,207.411,1.8483,164.542,18.248,0,0
27,2.5931,8.5435,2.479,1.9483,0,346.357,1.3034,604.329,2.836,0,0
30,1.7983,6.8677,954,0.99,1,246.474,2,662.252,213.209,0,0
29,2.0857,5.2008,4.239,2.9381,1,154.274,2.9202,650.591,5.0462,0,0
20,5.147,8.3025,9.151,4.1315,1,7.291,1.581,161.631,135.554,0,0
23,2.857,4.1925,7.242,2.443,1,170.549,5.749,912.102,2.5214,0,0
19,4.2784,1.9399,8.156,2.9848,0,317.447,1.9207,416.843,4.4446,0,0
23,5.5308,2.8485,8.719,3.2159,1,370.237,2.6896,770.327,14.052,0,0
18,7.2136,5.0516,9.726,3.0118,0,8.017,2.3929,174.816,152.314,0,0
26,1.3538,5.3133,7.632,3.2502,0,332.136,1.3967,475.863,6.474,0,0
20,8.1947,8.0558,6.084,3.1569,1,8.964,2.2364,526.306,2.8583,0,0
19,6.6511,7.9135,3.654,652,0,11.091,6.243,772.652,131.893,0,0
24,1.7358,5.8137,1.816,1.1747,0,265.659,412,625.304,201.753,0,0
19,8.8622,7.8079,6.867,3.095,1,144.601,1.71,405.309,4.8347,0,0
19,9.2879,1.9177,9.949,885,1,330.798,2.4397,28.969,165.976,0,0
23,1.5497,5.006,4.674,3.1737,1,477.888,1.3003,973.227,9.2611,0,0
27,3.4919,8.7363,7.237,3.3269,1,7.4446,1.7077,291.685,226.341,0,0
13,8.2558,7.555,4.951,1.1959,1,285.255,1.2665,138.179,1.9818,0,0
17,7.7343,2.4669,4.319,2.9907,1,46.165,1.5421,307.413,9.592,0,0
26,2.6607,6.9532,4.103,2.6705,1,8.8264,2.653,333.667,2.9834,0,0
24,2.8841,4.0945,5.046,1.3035,0,183.425,1.4344,136.581,187.787,0,0
24,4.3342,8.7631,3.669,2.3149,1,6.1808,224,711.064,221.465,0,0
22,5.3607,2.9798,7.488,4.5481,1,321.019,2.3995,622.973,197.394,0,0
16,6.5643,1.187,8.743,2.133,0,334.571,1.8532,323.449,17.228,0,0
19,4.3202,3.1966,8.829,3.1492,0,332.091,2.1912,99.307,1.382,0,0
27,5.1628,5.7808,2.277,1.768,1,271.064,2.7033,658.461,5.1315,0,0
19,7.7272,3.7594,8.959,389,1,37.313,8.586,706.154,224.491,0,0
27,1.3301,5.3487,3.416,4.065,1,1.7939,1.5092,561.611,14.947,0,0
28,3.2719,8.766,3.093,3.8912,1,478.757,1.8075,556.059,11.2398,0,0
22,7.4201,9.1249,7.268,1.7513,1,11.1048,1.0362,2.9822,156.555,0,0
15,9.0569,2.6597,3.047,1.1381,1,6.0781,2.5382,773.197,4.2863,0,0
22,5.6051,4.6214,53,3.7366,1,470.568,2.0927,911.633,214.289,0,0
24,5.789,5.4914,3.736,8.498,1,415.218,2.2002,131.041,157.513,0,0
33,1.9645,9.4911,7.215,1.2325,0,382.435,2.424,797.674,11.3099,0,0
23,5.0267,9.9862,327,2.1547,1,5.2373,7.743,538.964,10.977,0,0
